,Neighborhood,ID,Name,Likes,Rating,Tips
0,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,82,8.6,47.0
1,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor,25,7.3,23.0
2,Prospect Lefferts Gardens,4ec80587d3e3e131f2e72835,Bayleaf,6,7.3,7.0
